,Portfolio_Value,Cumulative_Invested,Profit_Loss
2033-06-30,9038714.215321392,5100000,3938714.215321392
2033-07-31,9183303.608647028,5150000,4033303.608647028
2033-08-31,9329406.11796131,5200000,4129406.11796131
2033-09-30,9477037.577897348,5250000,4227037.5778973475
2033-10-31,9626213.988796372,5300000,4326213.988796372
2033-11-30,9776951.518441856,5350000,4426951.518441856
2033-12-31,9929266.503811784,5400000,4529266.503811784
2034-01-31,10083175.452849258,5450000,4633175.452849258
2034-02-28,10238695.04625163,5500000,4738695.04625163
2034-03-31,10395842.139278369,5550000,4845842.139278369
2034-04-30,10554633.763577828,5600000,4954633.763577828
2034-05-31,10715087.12903315,5650000,5065087.12903315
2034-06-30,10877219.625627473,5700000,5177219.625627473
2034-07-31,11041048.825328663,5750000,5291048.825328663
2034-08-31,11206592.483993772,5800000,5406592.483993772
2034-09-30,11373868.54329342,5850000,5523868.54329342
2034-10-31,11542895.132656319,5900000,5642895.132656319
2034-11-30,11713690.571234148,5950000,5763690.571234148
2034-12-31,11886273.369886983,6000000,5886273.369886983
2035-01-31,12060662.233189516,6050000,6010662.233189516
2035-02-28,12236876.061458258,6100000,6136876.061458258
2035-03-31,12414933.952799961,6150000,6264933.952799961
2035-04-30,12594855.20518148,6200000,6394855.205181479
2035-05-31,12776659.318521287,6250000,6526659.318521287
2035-06-30,12960365.996802883,6300000,6660365.996802883
2035-07-31,13145995.15021032,6350000,6795995.150210319
2035-08-31,13333566.897286067,6400000,6933566.897286067
2035-09-30,13523101.567111474,6450000,7073101.5671114735
2035-10-31,13714619.701510035,6500000,7214619.7015100345
2035-11-30,13908142.057273721,6550000,7358142.057273721
2035-12-31,14103689.60841261,6600000,7503689.60841261
2036-01-31,14301283.548428047,6650000,7651283.548428047
2036-02-29,14500945.292609613,6700000,7800945.292609613
2036-03-31,14702696.480356112,6750000,7952696.480356112
2036-04-30,14906558.97752086,6800000,8106558.977520861
2036-05-31,15112554.878781512,6850000,8262554.878781512
2036-06-30,15320706.510034686,6900000,8420706.510034686
2036-07-31,15531036.430815656,6950000,8581036.430815656
2036-08-31,15743567.436743358,7000000,8743567.436743358
2036-09-30,15958322.561990988,7050000,8908322.561990988
2036-10-31,16175325.081782445,7100000,9075325.081782445
2036-11-30,16394598.514914919,7150000,9244598.514914919
2036-12-31,16616166.626307854,7200000,9416166.626307854
2037-01-31,16840053.429578606,7250000,9590053.429578606
2037-02-28,17066283.189645037,7300000,9766283.189645037
2037-03-31,17294880.425355364,7350000,9944880.425355364
2037-04-30,17525869.912145507,7400000,10125869.912145507
2037-05-31,17759276.684724268,7450000,10309276.684724268
2037-06-30,17995126.039786596,7500000,10495126.039786596
2037-07-31,18233443.538755253,7550000,10683443.538755253
2037-08-31,18474255.010551166,7600000,10874255.010551166
2037-09-30,18717586.55439277,7650000,11067586.55439277
2037-10-31,18963464.542624656,7700000,11263464.542624656
2037-11-30,19211915.62357581,7750000,11461915.62357581
2037-12-31,19462966.724447764,7800000,11662966.724447764
2038-01-31,19716645.05423298,7850000,11866645.054232981
2038-02-28,19972978.106663767,7900000,12072978.106663767
2038-03-31,20231993.663192056,7950000,12281993.663192056
2038-04-30,20493719.79600036,8000000,12493719.796000361
2038-05-31,20758184.87104426,8050000,12708184.87104426
2038-06-30,21025417.551126696,8100000,12925417.551126696
2038-07-31,21295446.799004465,8150000,13145446.799004465
2038-08-31,21568301.880527206,8200000,13368301.880527206
2038-09-30,21844012.36780924,8250000,13594012.36780924
2038-10-31,22122608.142434612,8300000,13822608.142434612
2038-11-30,22404119.398695663,8350000,14054119.398695663
2038-12-31,22688576.646865487,8400000,14288576.646865487
2039-01-31,22976010.71650466,8450000,14526010.71650466
2039-02-28,23266452.759802543,8500000,14766452.759802543
2039-03-31,23559934.25495357,8550000,15009934.25495357
2039-04-30,23856487.009568866,8600000,15256487.009568866
2039-05-31,24156143.164123565,8650000,15506143.164123565
2039-06-30,24458935.195440203,8700000,15758935.195440203
2039-07-31,24764895.920208562,8750000,16014895.920208562
2039-08-31,25074058.49854236,8800000,16274058.498542361
2039-09-30,25386456.43757315,8850000,16536456.43757315
2039-10-31,25702123.595081832,8900000,16802123.595081832
2039-11-30,26021094.18316817,8950000,17071094.18316817
2039-12-31,26343402.771958705,9000000,17343402.771958705
